id,styleId,size,quantity
1,1,"XS",8
2,1,"S",16
3,1,"M",17
4,1,"L",10
5,1,"XL",15
6,1,"XL",4
8,2,"XS",8
7,2,"S",16
9,2,"M",17
10,2,"L",10
11,2,"XL",15
12,2,"XXL",6
13,3,"XS",8
14,3,"S",16
15,3,"M",17
16,3,"L",10
17,3,"XL",15
18,3,"XXL",6
19,4,"XS",8
20,4,"S",16
21,4,"M",17
22,4,"L",10
23,4,"XL",15
24,4,"XXL",6
25,5,"XS",8
26,5,"S",16
27,5,"M",17
28,5,"L",10
29,5,"XL",15
30,5,"XXL",6
31,6,"XS",8
32,6,"S",16
33,6,"M",17
34,6,"L",10
35,6,"XL",15
36,6,"XXL",6
37,11,"XS",8
38,11,"S",16
39,11,"M",17
40,11,"L",10
41,11,"XL",15
42,11,"XXL",6
43,12,"XS",8
44,12,"S",16
45,12,"M",17
46,12,"L",10
47,12,"XL",15
48,12,"XXL",6
49,13,"XS",8
50,13,"S",16
51,13,"M",17
52,13,"L",10
53,13,"XL",15
54,13,"XXL",6
55,14,"XS",8
56,14,"S",16
58,14,"M",17
57,14,"L",10
59,14,"XL",15
60,14,"XXL",6
61,15,"XS",8
62,15,"S",16
63,15,"M",17
64,15,"L",10
65,15,"XL",15
66,15,"XXL",6
68,16,"XS",8
67,16,"S",16
69,16,"M",17
70,16,"L",10
71,16,"XL",15
72,16,"XXL",6
73,17,"XS",8
74,17,"S",16
75,17,"M",17
76,17,"L",10
78,17,"XL",15
77,17,"XXL",6
79,18,"XS",8
80,18,"S",16
81,18,"M",17
82,18,"L",10
83,18,"XL",15
84,18,"XXL",6
85,19,"XS",8
86,19,"S",16
88,19,"M",17
87,19,"L",10
89,19,"XL",15
90,19,"XXL",6
91,20,"XS",8
92,20,"S",16
93,20,"M",17
94,20,"L",10
95,20,"XL",15
96,20,"XXL",6
98,21,"XS",8
97,21,"S",16
99,21,"M",17
100,21,"L",10
101,21,"XL",15
102,21,"XXL",6
103,22,"XS",8
104,22,"S",16
105,22,"M",17
106,22,"L",10
108,22,"XL",15
107,22,"XXL",6
109,23,"XS",8
110,23,"S",16
111,23,"M",17
112,23,"L",10
113,23,"XL",15
114,23,"XXL",6
115,24,"XS",8
116,24,"S",16
118,24,"M",17
117,24,"L",10
119,24,"XL",15
120,24,"XXL",6
121,25,"XS",8
122,25,"S",16
123,25,"M",17
124,25,"L",10
125,25,"XL",15
126,25,"XXL",6
127,26,"7",14
128,26,"7.5",25
129,26,"8",9
130,26,"8.5",2
131,26,"9",18
132,26,"9.5",12
133,26,"10",10
134,26,"10.5",18
135,26,"11", 11
136,26,"11.5",35
137,26,"12",25
138,27,"7",14
139,27,"7.5",25
140,27,"8",9
141,27,"8.5",2
142,27,"9",18
143,27,"9.5",12
144,27,"10",10
145,27,"10.5",18
146,27,"11", 11
147,27,"11.5",35
148,27,"12",25
149,28,"7",14
150,28,"7.5",25
151,28,"8",9
152,28,"8.5",2
153,28,"9",18
154,28,"9.5",12
155,28,"10",10
156,28,"10.5",18
157,28,"11", 11
158,28,"11.5",35
159,28,"12",25
160,29,"7",14
161,29,"7.5",25
162,29,"8",9
163,29,"8.5",2
164,29,"9",18
165,29,"9.5",12
166,29,"10",10
167,29,"10.5",18
168,29,"11", 11
169,29,"11.5",35
170,29,"12",25
171,30,"7",14
172,30,"7.5",25
173,30,"8",9
174,30,"8.5",2
175,30,"9",18
176,30,"9.5",12
177,30,"10",10
178,30,"10.5",18
179,30,"11", 11
180,30,"11.5",35
181,30,"12",25
182,31,"7",14
183,31,"7.5",25
184,31,"8",9
185,31,"8.5",2
186,31,"9",18
187,31,"9.5",12
188,31,"10",10
189,31,"10.5",18
190,31,"11", 11
191,31,"11.5",35
192,31,"12",25
193,32,"7",14
194,32,"7.5",25
195,32,"8",9
196,32,"8.5",2
197,32,"9",18
198,32,"9.5",12
199,32,"10",10
200,32,"10.5",18
201,32,"11", 11
202,32,"11.5",35
203,32,"12",25
204,33,"7",14
205,33,"7.5",25
206,33,"8",9
207,33,"8.5",2
208,33,"9",18
209,33,"9.5",12
210,33,"10",10
211,33,"10.5",18
212,33,"11", 11
213,33,"11.5",35
214,33,"12",25
215,34,"7",14
216,34,"7.5",25
217,34,"8",9
218,34,"8.5",2
219,34,"9",18
220,34,"9.5",12
221,34,"10",10
222,34,"10.5",18
223,34,"11", 11
224,34,"11.5",35
225,34,"12",25
226,35,"7",14
227,35,"7.5",25
228,35,"8",9
229,35,"8.5",2
230,35,"9",18
231,35,"9.5",12
232,35,"10",10
233,35,"10.5",18
234,35,"11", 11
235,35,"11.5",35
236,35,"12",25
237,36,"7",14
238,36,"7.5",25
239,36,"8",9
240,36,"8.5",2
241,36,"9",18
242,36,"9.5",12
243,36,"10",10
244,36,"10.5",18
245,36,"11", 11
246,36,"11.5",35
247,36,"12",25
248,37,"7",14
249,37,"7.5",25
250,37,"8",9
251,37,"8.5",2
252,37,"9",18
253,37,"9.5",12
254,37,"10",10
255,37,"10.5",18
256,37,"11", 11
257,37,"11.5",35
258,37,"12",25
259,38,"7",14
260,38,"7.5",25
261,38,"8",9
262,38,"8.5",2
263,38,"9",18
264,38,"9.5",12
265,38,"10",10
266,38,"10.5",18
267,38,"11", 11
268,38,"11.5",35
269,38,"12",25
270,39,"7",14
271,39,"7.5",25
272,39,"8",9
273,39,"8.5",2
274,39,"9",18
275,39,"9.5",12
276,39,"10",10
277,39,"10.5",18
278,39,"11", 11
279,39,"11.5",35
280,39,"12",25
281,40,"7",14
282,40,"7.5",25
283,40,"8",9
284,40,"8.5",2
285,40,"9",18
286,40,"9.5",12
287,40,"10",10
288,40,"10.5",18
289,40,"11", 11
290,40,"11.5",35
291,40,"12",25
292,41,"7",14
293,41,"7.5",25
294,41,"8",9
295,41,"8.5",2
296,41,"9",18
297,41,"9.5",12
298,41,"10",10
299,41,"10.5",18
300,41,"11", 11
301,41,"11.5",35
302,41,"12",25
303,42,"7",14
304,42,"7.5",25
305,42,"8",9
306,42,"8.5",2
307,42,"9",18
308,42,"9.5",12
309,42,"10",10
310,42,"10.5",18
311,42,"11", 11
312,42,"11.5",35
313,42,"12",25
314,43,"7",14
315,43,"7.5",25
316,43,"8",9
317,43,"8.5",2
318,43,"9",18
319,43,"9.5",12
320,43,"10",10
321,43,"10.5",18
322,43,"11", 11
323,43,"11.5",35
324,43,"12",25
325,44,"7",14
326,44,"7.5",25
327,44,"8",9
328,44,"8.5",2
329,44,"9",18
330,44,"9.5",12
331,44,"10",10
332,44,"10.5",18
333,44,"11", 11
334,44,"11.5",35
335,44,"12",25
336,45,"7",14
337,45,"7.5",25
338,45,"8",9
339,45,"8.5",2
340,45,"9",18
341,45,"9.5",12
342,45,"10",10
343,45,"10.5",18
344,45,"11", 11
345,45,"11.5",35
346,45,"12",25
347,46,"7",14
348,46,"7.5",25
349,46,"8",9
350,46,"8.5",2
351,46,"9",18
352,46,"9.5",12
353,46,"10",10
354,46,"10.5",18
355,46,"11", 11
356,46,"11.5",35
357,46,"12",25
358,53,"XS",22
359,53,"S",41
360,53,"M",26
361,53,"L",4
362,53,"XL",9
363,53,"XXL",58
364,54,"XS",52
365,54,"S",39
366,54,"M",55
367,54,"L",38
368,54,"XL",13
369,54,"XXL",30
370,55,"XS",53
371,55,"S",22
372,55,"M",57
373,55,"L",48
374,55,"XL",13
375,55,"XXL",53
376,56,"XS",56
377,56,"S",26
378,56,"M",27
379,56,"L",57
380,56,"XL",45
381,56,"XXL",0
382,57,"XS",43
383,57,"S",22
384,57,"M",1
385,57,"L",48
386,57,"XL",26
387,57,"XXL",22
388,58,"XS",13
389,58,"S",47
390,58,"M",43
391,58,"L",40
392,58,"XL",22
393,58,"XXL",39
394,59,"XS",3
395,59,"S",19
396,59,"M",19
397,59,"L",38
398,59,"XL",51
399,59,"XXL",22
400,60,"XS",15
401,60,"S",41
402,60,"M",58
403,60,"L",15
404,60,"XL",56
405,60,"XXL",9
406,61,"XS",19
407,61,"S",57
408,61,"M",55
409,61,"L",33
410,61,"XL",1
411,61,"XXL",28
412,62,"XS",46
413,62,"S",19
414,62,"M",35
415,62,"L",50
416,62,"XL",5
417,62,"XXL",26
418,63,"XS",45
419,63,"S",52
420,63,"M",36
421,63,"L",47
422,63,"XL",11
423,63,"XXL",54
424,64,"XS",35
425,64,"S",8
426,64,"M",46
427,64,"L",58
428,64,"XL",9
429,64,"XXL",0
430,65,"XS",54
431,65,"S",4
432,65,"M",53
433,65,"L",55
434,65,"XL",36
435,65,"XXL",7
436,66,"XS",8
437,66,"S",28
438,66,"M",49
439,66,"L",39
440,66,"XL",59
441,66,"XXL",32
442,67,"XS",56
443,67,"S",26
444,67,"M",14
445,67,"L",45
446,67,"XL",9
447,67,"XXL",58
448,68,"XS",44
449,68,"S",46
450,68,"M",20
451,68,"L",2
452,68,"XL",37
453,68,"XXL",26
454,69,"XS",10
455,69,"S",1
456,69,"M",32
457,69,"L",44
458,69,"XL",36
459,69,"XXL",13
460,70,"XS",44
461,70,"S",3
462,70,"M",15
463,70,"L",0
464,70,"XL",57
465,70,"XXL",17
466,71,"XS",21
467,71,"S",43
468,71,"M",39
469,71,"L",36
470,71,"XL",32
471,71,"XXL",29
472,72,"XS",27
473,72,"S",32
474,72,"M",52
475,72,"L",37
476,72,"XL",21
477,72,"XXL",30
478,73,"XS",24
479,73,"S",46
480,73,"M",42
481,73,"L",15
482,73,"XL",9
483,73,"XXL",48
484,74,"XS",30
485,74,"S",22
486,74,"M",38
487,74,"L",58
488,74,"XL",10
489,74,"XXL",56
490,75,"7",24
491,75,"7.5",7
492,75,"8",11
493,75,"8.5",51
494,75,"9",55
495,75,"9.5",37
496,75,"10",30
497,75,"10.5",10
498,75,"11",2
499,75,"11.5",30
500,75,"12",49
501,76,"7",30
502,76,"7.5",39
503,76,"8",35
504,76,"8.5",12
505,76,"9",6
506,76,"9.5",33
507,76,"10",31
508,76,"10.5",56
509,76,"11",29
510,76,"11.5",57
511,76,"12",57
512,77,"7",45
513,77,"7.5",18
514,77,"8",39
515,77,"8.5",26
516,77,"9",35
517,77,"9.5",51
518,77,"10",23
519,77,"10.5",59
520,77,"11",49
521,77,"11.5",39
522,77,"12",28
523,78,"7",25
524,78,"7.5",43
525,78,"8",36
526,78,"8.5",44
527,78,"9",54
528,78,"9.5",38
529,78,"10",25
530,78,"10.5",17
531,78,"11",18
532,78,"11.5",55
533,78,"12",45
534,79,"7",44
535,79,"7.5",59
536,79,"8",12
537,79,"8.5",18
538,79,"9",7
539,79,"9.5",28
540,79,"10",54
541,79,"10.5",7
542,79,"11",35
543,79,"11.5",49
544,79,"12",21
545,80,"7",30
546,80,"7.5",23
547,80,"8",38
548,80,"8.5",58
549,80,"9",49
550,80,"9.5",53
551,80,"10",52
552,80,"10.5",32
553,80,"11",27
554,80,"11.5",20
555,80,"12",48
556,81,"XS",9
557,81,"S",0
558,81,"M",15
559,81,"L",36
560,81,"XL",48
561,81,"XXL",51
562,82,"XS",31
563,82,"S",21
564,82,"M",22
565,82,"L",47
566,82,"XL",32
567,82,"XXL",59
568,83,"XS",35
569,83,"S",30
570,83,"M",4
571,83,"L",13
572,83,"XL",51
573,83,"XXL",14
574,84,"XS",34
575,84,"S",30
576,84,"M",0
577,84,"L",33
578,84,"XL",13
579,84,"XXL",0
580,85,"XS",55
581,85,"S",22
582,85,"M",48
583,85,"L",28
584,85,"XL",59
585,85,"XXL",12
586,86,"XS",25
